"fips","MSA","year","population"
"05081","RURAL",2000,13628
"05081","RURAL",2010,13171
"05083","RURAL",2010,22353
"05083","RURAL",2000,22486
"05085","LITTLE ROCK, AR",2000,52828
"05085","LITTLE ROCK, AR",2010,68356
"05087","RURAL",2010,15717
"05087","RURAL",2000,14243
"05089","RURAL",2000,16140
"05089","RURAL",2010,16653
"05091","TEXARKANA, TX",2010,43462
"05091","TEXARKANA, TX",2000,40443
"05093","RURAL",2010,46480
"05093","RURAL",2000,51979
"05095","RURAL",2010,8149
"05095","RURAL",2000,10254
"05097","RURAL",2000,9245
"05097","RURAL",2010,9487
"05099","RURAL",2010,8997
"05099","RURAL",2000,9955
"05101","RURAL",2010,8330
"05101","RURAL",2000,8608
"05103","RURAL",2000,28790
"05103","RURAL",2010,26120
"05105","RURAL",2000,10209
"05105","RURAL",2010,10445
"05107","RURAL",2010,21757
"05107","RURAL",2000,26445
"05109","RURAL",2010,11291
"05109","RURAL",2000,11303
"05111","RURAL",2010,24583
"05111","RURAL",2000,25614
"05113","RURAL",2010,20662
"05113","RURAL",2000,20229
"05115","RURAL",2000,54469
"05115","RURAL",2010,61754
"05117","RURAL",2000,9539
"05117","RURAL",2010,8715
"05119","LITTLE ROCK, AR",2010,382748
"05119","LITTLE ROCK, AR",2000,361474
"05121","RURAL",2000,18195
"05121","RURAL",2010,17969
"05123","RURAL",2010,28258
"05123","RURAL",2000,29329
"05125","LITTLE ROCK, AR",2000,83529
"05125","LITTLE ROCK, AR",2010,107118
"05127","RURAL",2010,11233
"05127","RURAL",2000,10996
"05129","RURAL",2000,8261
"05129","RURAL",2010,8195
"05131","FORT SMITH, AR",2000,115071
"05131","FORT SMITH, AR",2010,125744
"05133","RURAL",2000,15757
"05133","RURAL",2010,17058
"05135","RURAL",2000,17119
"05135","RURAL",2010,17264
"05137","RURAL",2010,12394
"05137","RURAL",2000,11499
"05139","RURAL",2010,41639
"05139","RURAL",2000,45629
"05141","RURAL",2000,16192
"05141","RURAL",2010,17295
"05143","FAYETTEVILLE, AR",2000,157715
"05143","FAYETTEVILLE, AR",2010,203065
"05145","RURAL",2000,67165
"05145","RURAL",2010,77076
"05147","RURAL",2010,7260
"05147","RURAL",2000,8741
"05149","RURAL",2010,22185
"05149","RURAL",2000,21139
"06001","SAN FRANCISCO, CA",2010,1510271
"06001","SAN FRANCISCO, CA",2000,1443741
"06003","RURAL",2000,1208
"06003","RURAL",2010,1175
"06005","RURAL",2010,38091
"06005","RURAL",2000,35100
"06007","CHICO, CA",2000,203171
"06007","CHICO, CA",2010,220000
"06009","RURAL",2000,40554
"06009","RURAL",2010,45578
"06011","RURAL",2000,18804
"06011","RURAL",2010,21419
"06013","SAN FRANCISCO, CA",2010,1049025
"06013","SAN FRANCISCO, CA",2000,948816
"06015","RURAL",2010,28610
"06015","RURAL",2000,27507
"06017","SACRAMENTO, CA",2010,181058
"06017","SACRAMENTO, CA",2000,156299
"06019","FRESNO, CA",2010,930450
"06019","FRESNO, CA",2000,799407
"06021","RURAL",2000,26453
"06021","RURAL",2010,28122
"06023","RURAL",2000,126518
"06023","RURAL",2010,134623
"06025","RURAL",2010,174528
"06025","RURAL",2000,142361
"06027","RURAL",2010,18546
"06027","RURAL",2000,17945
"06029","BAKERSFIELD, CA",2010,839631
"06029","BAKERSFIELD, CA",2000,661645
"06031","RURAL",2010,152982
"06031","RURAL",2000,129461
"06033","RURAL",2000,58309
"06033","RURAL",2010,64665
"06035","RURAL",2010,34895
"06035","RURAL",2000,33828
"06037","LOS ANGELES, CA",2010,9818605
"06037","LOS ANGELES, CA",2000,9519338
"06039","FRESNO, CA",2010,150865
"06039","FRESNO, CA",2000,123109
"06041","SAN FRANCISCO, CA",2010,252409
"06041","SAN FRANCISCO, CA",2000,247289
"06043","RURAL",2000,17130
"06043","RURAL",2010,18251
"06045","RURAL",2010,87841
"06045","RURAL",2000,86265
"06047","MERCED, CA",2000,210554
"06047","MERCED, CA",2010,255793
"06049","RURAL",2000,9449
"06049","RURAL",2010,9686
"06051","RURAL",2010,14202
"06051","RURAL",2000,12853
"06053","SALINAS, CA",2010,415057
"06053","SALINAS, CA",2000,401762
"06055","SAN FRANCISCO, CA",2000,124279
"06055","SAN FRANCISCO, CA",2010,136484
"06057","RURAL",2000,92033
"06057","RURAL",2010,98764
"06059","LOS ANGELES, CA",2000,2846289
"06059","LOS ANGELES, CA",2010,3010232
"06061","SACRAMENTO, CA",2000,248399
"06061","SACRAMENTO, CA",2010,348432
"06063","RURAL",2010,20007
"06063","RURAL",2000,20824
"06065","LOS ANGELES, CA",2000,1545387
"06065","LOS ANGELES, CA",2010,2189641
"06067","SACRAMENTO, CA",2010,1418788
"06067","SACRAMENTO, CA",2000,1223499
"06069","RURAL",2010,55269
"06069","RURAL",2000,53234
"06071","LOS ANGELES, CA",2000,1709434
"06071","LOS ANGELES, CA",2010,2035210
"06073","SAN DIEGO, CA",2000,2813833
"06073","SAN DIEGO, CA",2010,3095313
"06075","SAN FRANCISCO, CA",2010,805235
"06075","SAN FRANCISCO, CA",2000,776733
"06077","STOCKTON, CA",2000,563598
"06077","STOCKTON, CA",2010,685306
"06079","SN LUIS OBISP, CA",2010,269637
"06079","SN LUIS OBISP, CA",2000,246681
"06081","SAN FRANCISCO, CA",2010,718451
"06081","SAN FRANCISCO, CA",2000,707161
"06083","SANTA BARBARA, CA",2010,423895
"06083","SANTA BARBARA, CA",2000,399347
"06085","SAN FRANCISCO, CA",2010,1781642
"06085","SAN FRANCISCO, CA",2000,1682585
"06087","SAN FRANCISCO, CA",2010,262382
"06087","SAN FRANCISCO, CA",2000,255602
"06089","REDDING, CA",2010,177223
"06089","REDDING, CA",2000,163256
"06091","RURAL",2000,3555
"06091","RURAL",2010,3240
"06093","RURAL",2000,44301
"06093","RURAL",2010,44900
"06095","SAN FRANCISCO, CA",2010,413344
"06095","SAN FRANCISCO, CA",2000,394542
"06097","SAN FRANCISCO, CA",2000,458614
"06097","SAN FRANCISCO, CA",2010,483878
"06099","MODESTO, CA",2000,446997
"06099","MODESTO, CA",2010,514453
"06101","YUBA CITY, CA",2000,78930
"06101","YUBA CITY, CA",2010,94737
"06103","RURAL",2000,56039
"06103","RURAL",2010,63463
"06105","RURAL",2000,13022
"06105","RURAL",2010,13786
"06107","VISALIA, CA",2000,368021
"06107","VISALIA, CA",2010,442179
"06109","RURAL",2000,54501
"06109","RURAL",2010,55365
"06111","LOS ANGELES, CA",2000,753197
"06111","LOS ANGELES, CA",2010,823318
"06113","SACRAMENTO, CA",2010,200849
"06113","SACRAMENTO, CA",2000,168660
"06115","YUBA CITY, CA",2000,60219
"06115","YUBA CITY, CA",2010,72155
"08001","DENVER, CO",2000,363857
"08001","DENVER, CO",2010,441603
"08003","RURAL",2000,14966
"08003","RURAL",2010,15445
"08005","DENVER, CO",2010,572003
"08005","DENVER, CO",2000,487967
"08007","RURAL",2000,9898
"08007","RURAL",2010,12084
"08009","RURAL",2010,3788
"08009","RURAL",2000,4517
"08011","RURAL",2000,5998
"08011","RURAL",2010,6499
"08013","DENVER, CO",2010,294567
"08013","DENVER, CO",2000,291288
"08014","DENVER, CO",2010,55889
"08015","RURAL",2000,16242
"08015","RURAL",2010,17809
"08017","RURAL",2000,2231
"08017","RURAL",2010,1836
"08019","RURAL",2000,9322
"08019","RURAL",2010,9088
"08021","RURAL",2010,8256
"08021","RURAL",2000,8400
"08023","RURAL",2000,3663
"08023","RURAL",2010,3524
"08025","RURAL",2000,5518
"08025","RURAL",2010,5823
"08027","RURAL",2000,3503
"08027","RURAL",2010,4255
"08029","RURAL",2000,27834
"08029","RURAL",2010,30952
"08031","DENVER, CO",2000,554636
"08031","DENVER, CO",2010,600158
"08033","RURAL",2010,2064
"08033","RURAL",2000,1844
"08035","DENVER, CO",2000,175766
"08035","DENVER, CO",2010,285465
"08037","RURAL",2000,41659
"08037","RURAL",2010,52197
"08039","RURAL",2000,19872
"08039","RURAL",2010,23086
"08041","COLORADO SPGS, CO",2010,622263
"08041","COLORADO SPGS, CO",2000,516929
"08043","RURAL",2000,46145
"08043","RURAL",2010,46824
"08045","RURAL",2000,43791
"08045","RURAL",2010,56389
"08047","RURAL",2000,4757
"08047","RURAL",2010,5441
"08049","RURAL",2010,14843
"08049","RURAL",2000,12442
"08051","RURAL",2000,13956
"08051","RURAL",2010,15324
"08053","RURAL",2010,843
"08053","RURAL",2000,790
"08055","RURAL",2000,7862
"08055","RURAL",2010,6711
"08057","RURAL",2010,1394
"08057","RURAL",2000,1577
"08059","DENVER, CO",2010,534543
"08059","DENVER, CO",2000,527056
"08061","RURAL",2010,1398
"08061","RURAL",2000,1622
"08063","RURAL",2010,8270
"08063","RURAL",2000,8011
"08065","RURAL",2000,7812
"08065","RURAL",2010,7310
"08067","RURAL",2000,43941
"08067","RURAL",2010,51334
"08069","FORT COLLINS, CO",2000,251494
"08069","FORT COLLINS, CO",2010,299630
"08071","RURAL",2000,15207
"08071","RURAL",2010,15507
"08073","RURAL",2010,5467
"08073","RURAL",2000,6087
"08075","RURAL",2000,20504
"08075","RURAL",2010,22709
"08077","GRAND JCT, CO",2000,116255
"08077","GRAND JCT, CO",2010,146723
"08079","RURAL",2010,712
"08079","RURAL",2000,831
"08081","RURAL",2000,13184
"08081","RURAL",2010,13795
"08083","RURAL",2010,25535
"08083","RURAL",2000,23830
"08085","RURAL",2000,33432
"08085","RURAL",2010,41276
"08087","RURAL",2000,27171
"08087","RURAL",2010,28159
"08089","RURAL",2000,20311
"08089","RURAL",2010,18831
"08091","RURAL",2010,4436
"08091","RURAL",2000,3742
"08093","RURAL",2010,16206
"08093","RURAL",2000,14523
"08095","RURAL",2010,4442
"08095","RURAL",2000,4480
"08097","RURAL",2010,17148
"08097","RURAL",2000,14872
"08099","RURAL",2010,12551
"08099","RURAL",2000,14483
"08101","PUEBLO, CO",2010,159063
"08101","PUEBLO, CO",2000,141472
"08103","RURAL",2000,5986
"08103","RURAL",2010,6666
"08105","RURAL",2010,11982
"08105","RURAL",2000,12413
"08107","RURAL",2010,23509
"08107","RURAL",2000,19690
"08109","RURAL",2010,6108
"08109","RURAL",2000,5917
"08111","RURAL",2000,558
"08111","RURAL",2010,699
"08113","RURAL",2000,6594
"08113","RURAL",2010,7359
"08115","RURAL",2010,2379
"08115","RURAL",2000,2747
"08117","RURAL",2000,23548
"08117","RURAL",2010,27994
"08119","RURAL",2000,20555
"08119","RURAL",2010,23350
"08121","RURAL",2000,4926
"08121","RURAL",2010,4814
"08123","DENVER, CO",2000,180936
"08123","DENVER, CO",2010,252825
"08125","RURAL",2010,10043
"08125","RURAL",2000,9841
"09001","NEW YORK, NY",2000,882567
"09001","NEW YORK, NY",2010,916829
"09003","HARTFORD, CT",2010,894014
"09003","HARTFORD, CT",2000,857183
"09005","RURAL",2010,189927
"09005","RURAL",2000,182193
